Patient,MAGEA9,MAGEA10,MAGEA4,MAGEA8,MAGEA2B,MAGEA13P,MAGEA11,MAGEA6,MAGEA1,MAGEA12,MAGEA3,MAGEA7P,MAGEA4-AS1,MAGEA8-AS1,MAGEA5,MAGEA10-MAGEA5,MAGEA9B,MAGEA2
TCGA-EW-A1IY-01A-11R-A13Q-07,0,0,5,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0
TCGA-E9-A1RH-11A-34R-A169-07,0,0,0,2,0,0,0,8,0,2,4,0,0,5,1,0,0,0
TCGA-E9-A1RH-01A-21R-A169-07,0,0,5,3,2,0,0,5343,15,1318,5673,0,0,0,3,3,0,0
TCGA-BH-A1EV-01A-11R-A137-07,0,0,0,37,0,0,2,0,2,0,0,0,0,15,0,0,1,0
TCGA-BH-A1EV-11A-24R-A137-07,0,2,0,7,0,0,4,1,0,0,0,0,0,5,1,0,1,0
TCGA-C8-A1HO-01A-11R-A13Q-07,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0
TCGA-A7-A0DA-01A-31R-A115-07,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,2,0,0
TCGA-B6-A0IK-01A-12R-A056-07,0,0,3,1,0,0,0,0,2,5,1,0,0,0,0,0,0,0
TCGA-A2-A0D4-01A-11R-A00Z-07,6,0,22,15,0,0,4,104,81,71,85,0,0,8,0,0,0,1
TCGA-AC-A8OP-01A-11R-A36F-07,0,0,0,1,0,0,6,711,3,46,21,0,0,0,0,0,0,6
TCGA-LL-A442-01A-11R-A24H-07,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0
TCGA-D8-A143-01A-11R-A115-07,0,1,0,1,0,0,0,623,1,93,1473,0,0,1,0,0,0,1
TCGA-BH-A1FD-11B-21R-A13Q-07,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0
TCGA-E2-A1IG-11A-22R-A144-07,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0
TCGA-E2-A572-01A-13R-A31O-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TCGA-A2-A259-01A-11R-A16F-07,0,0,0,1,0,0,48,0,0,0,0,0,0,1,0,0,0,0
TCGA-B6-A1KI-01A-11R-A14M-07,0,0,0,25,0,0,2,0,0,0,0,0,0,7,0,0,0,0
TCGA-BH-A0DI-01A-21R-A12P-07,0,0,13,3,0,0,1,1,1,0,0,0,0,1,0,1,0,0
TCGA-BH-A0W5-01A-11R-A109-07,0,0,0,1,0,0,9,0,0,4,0,0,0,1,0,0,0,0
TCGA-AO-A0JD-01A-11R-A056-07,0,72,47,32,2,0,23,224,3939,433,599,1,0,2,0,2,0,5
TCGA-D8-A1JG-01B-11R-A13Q-07,0,0,26,2,0,0,1,0,0,0,8,0,0,0,0,4,0,0
TCGA-BH-A0BW-11A-12R-A115-07,0,4,0,5,0,0,1,129,0,0,18,0,0,3,0,0,0,0
TCGA-E2-A15T-01A-11R-A115-07,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TCGA-AO-A128-01A-11R-A10J-07,0,2,0,104,0,0,757,5087,3311,3,3043,1,0,1,0,1,0,1
TCGA-AN-A0FZ-01A-11R-A034-07,0,178,5706,24,15,0,0,6967,3961,4750,7157,0,61,7,0,0,0,32
TCGA-A1-A0SH-01A-11R-A084-07,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0
TCGA-E2-A14V-01A-11R-A12D-07,0,0,0,11,0,0,0,0,4,2,2,0,0,7,0,0,0,0
TCGA-BH-A1FB-01A-11R-A13Q-07,0,0,0,12,0,0,1,0,1,0,0,0,0,6,1,0,0,0
TCGA-D8-A1XD-01A-11R-A14D-07,0,0,0,20,0,0,6,0,8,2,0,1,0,3,0,0,0,0
TCGA-C8-A278-01A-11R-A169-07,0,1,22,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0
TCGA-A2-A0EQ-01A-11R-A034-07,0,0,5,2,0,0,44,0,4,1,1,0,0,0,0,0,0,0
TCGA-AR-A0U2-01A-11R-A109-07,0,329,0,0,0,0,0,2480,30,1735,2852,0,1,0,0,4,0,17
TCGA-BH-A18T-01A-11R-A12D-07,0,0,0,3,0,0,6,0,0,0,0,0,0,1,1,0,0,0
TCGA-BH-A1F5-01A-12R-A13Q-07,0,0,0,9,0,0,9,0,0,0,0,0,0,7,0,0,0,0
TCGA-EW-A1P8-01A-11R-A144-07,0,2,0,8,0,0,4,0,0,1,0,0,0,2,0,1,0,0
TCGA-B6-A0RO-01A-22R-A084-07,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0
TCGA-E2-A15I-11A-32R-A137-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0
TCGA-E2-A15I-01A-21R-A137-07,0,0,0,6,0,0,1,18,424,3,3,0,0,3,0,0,0,0
TCGA-AR-A24S-01A-11R-A169-07,0,25,198,4,1,0,123,1451,1822,2260,3440,0,15,3,1,2,19,6
TCGA-A2-A0ER-01A-21R-A034-07,0,0,0,6,0,0,3,0,10,0,0,0,0,3,0,0,0,0
TCGA-E2-A1B0-01A-11R-A12P-07,0,0,0,3,0,0,2,455,1,172,410,0,0,0,0,0,0,5
TCGA-AO-A12A-01A-21R-A115-07,0,3,3,3,0,0,0,0,12,1,1,0,0,1,0,6,1,0
TCGA-A2-A0D2-01A-21R-A034-07,190,1,35,2,0,0,0,5992,0,1,6682,0,5,2,2,1,172,7
TCGA-E9-A24A-01A-11R-A169-07,0,1,0,5,1,0,0,0,15,2,0,0,0,3,0,0,0,0
TCGA-BH-A1EW-11B-33R-A137-07,0,3,0,24,0,0,0,0,0,0,0,1,0,13,0,0,0,0
TCGA-LL-A441-01A-11R-A24H-07,0,1,1,15,0,0,1,6,0,1,5,0,0,2,3,2,1,0
TCGA-BH-A0H3-01A-11R-A12P-07,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1
TCGA-A7-A26J-01A-11R-A169-07,0,0,0,3,0,0,0,0,125,0,0,0,0,2,0,0,0,0
TCGA-D8-A1JE-01A-11R-A13Q-07,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
